system:index,area,band,class,class_name,.geo
7_0_4,0.5418077294311514,classification_1992,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_5,145.695786003484,classification_1992,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_6,79.31945481671292,classification_1992,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_7,150.41837756489133,classification_1992,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_8,38.857695706849455,classification_1992,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_9,2.070077926696782,classification_1992,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_10,0.29377471606445243,classification_1992,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_11,2.328531282836922,classification_1992,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_12,2.4932291917724645,classification_1992,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_13,0.004968797058105469,classification_1992,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0_14,0.27755510217285195,classification_1992,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_0,66.51237692602228,classification_1993,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_1,5.6048543809204805,classification_1993,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_2,4.043472102477973,classification_1993,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_3,1.761402259582523,classification_1993,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_4,0.5169540566406243,classification_1993,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_5,143.71380853192366,classification_1993,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_6,83.89514037121941,classification_1993,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_7,145.67659190973365,classification_1993,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_8,39.62784966180532,classification_1993,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_9,2.036104767395023,classification_1993,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_10,0.3574832979736317,classification_1993,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_11,2.386510832885753,classification_1993,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_12,2.002139832336427,classification_1993,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0_13,0.27838364147949257,classification_1993,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_0,67.46594536822218,classification_1994,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_1,5.221252376586921,classification_1994,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_2,4.184258085998491,classification_1994,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_3,1.7995130689086962,classification_1994,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_4,0.509496829528808,classification_1994,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_5,140.59491251629794,classification_1994,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_6,86.36407678808781,classification_1994,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_7,146.5848986489919,classification_1994,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_8,39.76282988836765,classification_1994,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_9,1.7719666611938545,classification_1994,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_10,0.4294665264892568,classification_1994,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_11,2.1587845816650413,classification_1994,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_12,1.242537483337403,classification_1994,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0_13,0.3231337487182624,classification_1994,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_0,68.17326283678966,classification_1995,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_1,5.133437536621102,classification_1995,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_2,3.860483515747031,classification_1995,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_3,1.7862559687500024,classification_1995,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_4,0.5003831182861324,classification_1995,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_5,134.98705764654392,classification_1995,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_6,86.19741031946023,classification_1995,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_7,151.5299416798791,classification_1995,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_8,40.56862227349979,classification_1995,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_9,1.7115228842773476,classification_1995,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_10,0.5676458132934573,classification_1995,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_11,2.3236069989013752,classification_1995,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_12,0.7503076892700166,classification_1995,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0_13,0.32313429107666086,classification_1995,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_0,70.28533045190176,classification_1996,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_1,5.103611601562519,classification_1996,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_2,3.7652617147216367,classification_1996,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_3,1.6984324154052781,classification_1996,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_4,0.5036936642456051,classification_1996,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_5,129.06606614483647,classification_1996,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_6,85.51597934100661,classification_1996,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_7,155.6996924159031,classification_1996,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_8,40.93051067804076,classification_1996,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_9,1.604686869750981,classification_1996,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_10,0.7116539680175775,classification_1996,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_11,2.287201508483887,classification_1996,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_12,0.9169889963378894,classification_1996,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0_13,0.3239628021850593,classification_1996,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_0,69.14908070678405,classification_1997,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_1,4.926270641479505,classification_1997,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_2,3.74125394165035,classification_1997,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_3,1.676057898925784,classification_1997,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_4,0.5210774575805664,classification_1997,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_5,124.81424585271733,classification_1997,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_6,83.24232369928225,classification_1997,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_7,162.64617992017568,classification_1997,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_8,41.39009766571159,classification_1997,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_9,1.5385682268676772,classification_1997,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_10,0.830826806335449,classification_1997,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_11,2.7342088931274473,classification_1997,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_12,0.8797465706787115,classification_1997,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0_13,0.32313429107666086,classification_1997,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_0,68.45227987359304,classification_1998,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_1,4.923777032531749,classification_1998,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_2,3.928395995666474,classification_1998,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_3,1.6603192471313497,classification_1998,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_4,0.5252150857543951,classification_1998,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_5,120.77098525780174,classification_1998,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_6,84.80273819195698,classification_1998,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_7,165.11071506537795,classification_1998,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_8,41.48946894274993,classification_1998,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_9,1.7503948709106465,classification_1998,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_10,0.9640386557617179,classification_1998,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_11,2.9825496888427843,classification_1998,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_12,0.7290603732299807,classification_1998,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_13,0.32313429107666086,classification_1998,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_0,69.62028712609609,classification_1999,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_1,4.999997759277358,classification_1999,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_2,4.175965009155252,classification_1999,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_3,1.6727465986938501,classification_1999,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_4,0.540127947387696,classification_1999,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_5,119.52134109672987,classification_1999,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_6,82.82422186938828,classification_1999,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
